Building_Type,Main_Function,Building_Size,EUI2020,EUI_Quartile__Energy_Ranking2020,EUI2021_,EUI_Quartile__Energy_Ranking_2021,EUI2022_,EUI_Quartile__Energy_Ranking_2022,TOP_CSC_Year,Award__Green_Non_Green_,Green_Mark_Version,GFA,AC_Area,AC_Area_Percentage,No_Of_Hotel_Room,AC_Type,Age__of_Chiller,Aircon_system_efficiency__kW_RT_
Healthcare Facility,Community Hospital/ Nursing Home,,0.0,,0,,24,,2022,Gold,New Non-Residential Buildings (NRB: 2015) (R3),"11,169",500,4%,0,Others,0.0,0.0
Commercial Building,Office,Small,106.09,,0,,0,,1996,,,"7,387",0,0%,0,,4.0,0.0
Healthcare Facility,Community Hospital/ Nursing Home,,176.0,,178,,185,,2008,,,"20,498","8,156",40%,0,Air Cooled Chilled Water Plant,0.0,0.0
Commercial Building,Hotel,,118.0,Top Quartile,113,Top Quartile,128,Top Quartile,1971,Gold,Existing Non-Residential Buildings (RECERT 2017),"31,184","27,181",87%,407,Water Cooled Chilled Water Plant,7.0,0.0
Commercial Building,Retail,Medium,220.0,2nd Quartile,215,Top Quartile,214,Top Quartile,1984,,,"8,199","3,304",40%,0,Water-Cooled Package Units,0.0,0.0
Commercial Building,Office,Large,83.39,,0,,0,,1960,,,"15,091",0,0%,0,,14.0,0.0
Commercial Building,Retail,Medium,232.0,2nd Quartile,215,Top Quartile,176,Top Quartile,2010,Gold,Existing Building for Non-Residential buildings (version 3),"13,102","8,608",66%,0,Others,0.0,0.0
Commercial Building,Office,Small,9.96,,0,,0,,1976,,,"14,486",0,0%,0,,18.0,0.0
Commercial Building,Office,Small,167.29,,0,,0,,2007,,,"9,374",0,0%,0,,9.0,0.0
Commercial Building,Mixed Development,Small,270.23,,0,,0,,1996,,,"13,128",0,0%,0,,23.0,0.0
"Civic, Community & Cultural Institution",Community Institution,,22.0,,22,,22,,2014,,,"9,062","1,916",21%,0,Others,0.0,0.0
Commercial Building,Office,Large,145.0,2nd Quartile,154,2nd Quartile,157,2nd Quartile,2019,GoldPlus,Existing Non-Residental Buildings ENRB: 2017,"24,085","20,000",83%,0,Water Cooled Chilled Water Plant,4.0,0.53
Commercial Building,Hotel,Large,221.59,,0,,0,,2013,Platinum,New Building for Non-Residential buildings (version 3),"20,331",0,0%,0,,6.0,0.0
Commercial Building,Office,Large,210.76,,0,,0,,1988,,,"23,278",0,0%,0,,16.0,0.0
Commercial Building,Office,Small,13.65,,0,,0,,1991,,,"13,101",0,0%,0,,6.0,0.0
Commercial Building,Hotel,,289.0,Bottom Quartile,323,Bottom Quartile,349,Bottom Quartile,2013,GoldPlus,New Building for Non-Residential buildings (version 4),"5,261","5,000",95%,273,Air Cooled Chilled Water Plant,0.0,0.0
Commercial Building,Retail,Large,133.15,,0,,0,,1994,,,"90,517",0,0%,0,,5.0,0.0
Commercial Building,Retail,Medium,406.0,3rd Quartile,397,3rd Quartile,412,3rd Quartile,2010,GoldPlus,Existing Building for Non-Residential buildings (version 3),"5,345",0,0%,0,Others,0.0,5.0
Commercial Building,Office,Large,130.0,2nd Quartile,118,Top Quartile,116,Top Quartile,1999,Platinum,Existing Non-Residental Buildings ENRB: 2017,"31,278","25,585",82%,0,Water Cooled Chilled Water Plant,2.0,0.0
Commercial Building,Retail,Medium,299.0,3rd Quartile,310,2nd Quartile,310,2nd Quartile,1974,,,"12,977","7,925",61%,0,Water Cooled Chilled Water Plant,24.0,0.0
Commercial Building,Office,Small,231.45,,0,,0,,2004,,,"5,681",0,0%,0,,7.0,0.0
Commercial Building,Hotel,,213.0,2nd Quartile,227,3rd Quartile,178,Top Quartile,2014,,,"6,962","6,000",86%,270,Others,0.0,6.42
Commercial Building,Office,Large,207.09,,0,,0,,2002,Certified,Existing Building for Non-Residential buildings (version 3),"15,345",0,0%,0,,7.0,0.0
Commercial Building,Office,,0.0,,0,,0,,1988,Certified,Existing Non-Residential Buildings (RECERT 2017),"15,192","14,693",97%,0,Water Cooled Chilled Water Plant,8.0,0.59
Commercial Building,Retail,Medium,243.0,2nd Quartile,254,2nd Quartile,281,2nd Quartile,2009,Certified,New Building (version 1),"13,000","7,508",58%,0,Water Cooled Chilled Water Plant,14.0,0.0
Commercial Building,Office,Large,298.51,,0,,0,,2008,Platinum,Existing Building for Non-Residential buildings (version 3),"38,774",0,0%,0,,3.0,0.0
Educational Institution,Private School,,89.0,,88,,90,,2006,,,"5,570","7,273",70%,138,Others,0.0,0.0
Commercial Building,Office,Large,182.5,,0,,0,,2000,Platinum,Existing Building for Non-Residential buildings (version 3),"51,479",0,0%,0,,1.0,0.0
